namespace	functionality	platform	test_name	exit_code	duration	result
convert	convert_10x_to_h5ad	docker	build_executable	0	0	SUCCESS
convert	convert_10x_to_h5ad	docker	run_test.py	0	5	SUCCESS
convert	convert_bdrhap_to_h5ad	docker	build_executable	0	0	SUCCESS
convert	convert_bdrhap_to_h5ad	docker	tests	-1	0	MISSING
nn	nn	docker	build_executable	0	0	SUCCESS
nn	nn	docker	run_test.sh	0	22	SUCCESS
normalize	lognorm	docker	build_executable	0	0	SUCCESS
normalize	lognorm	docker	run_test.sh	0	3	SUCCESS
download	download_10x_dataset	docker	build_executable	0	0	SUCCESS
download	download_10x_dataset	docker	run_test.R	0	34	SUCCESS
projection	umap	docker	build_executable	0	0	SUCCESS
projection	umap	docker	run_test.sh	0	19	SUCCESS
dimred	pca	docker	build_executable	0	0	SUCCESS
dimred	pca	docker	run_test.sh	0	5	SUCCESS
hvg	hvg_scanpy	docker	build_executable	0	0	SUCCESS
hvg	hvg_scanpy	docker	test.py	0	10	SUCCESS
bcl_demux	cellranger_mkfastq	docker	build_executable	0	0	SUCCESS
bcl_demux	cellranger_mkfastq	docker	run_test.sh	0	32	SUCCESS
mapping	bd_rhapsody_wta	docker	build_executable	1	1	ERROR
transfer	publish	docker	build_executable	0	0	SUCCESS
transfer	publish	docker	run_test.sh	0	2	SUCCESS
convert	h5toh5ad	docker	build_executable	0	0	SUCCESS
convert	h5toh5ad	docker	run_test.py	0	5	SUCCESS
cluster	leiden	docker	build_executable	0	0	SUCCESS
cluster	leiden	docker	run_test.py	0	8	SUCCESS
